Text,Emotion
That was completely out of the blue!,Surprised
"I understand, and that’s fine with me....",Calm
I’m feeling relaxed and at peace..,Calm
This situation is driving me crazy!,Angry
I feel like something bad is going to happen.!!,Fear
Everything seems hopeless right now....,Sad
"This is fantastic news, I'm thrilled!...",Happy
That’s absolutely disgusting!...,Disgust
It doesn’t really bother me either way....,Calm
"Please don’t leave me alone, I’m afraid....",Fear
This is the worst thing I’ve ever experienced.,Disgust
We can discuss this calmly and logically.!!,Calm
"What a wonderful day, I feel great!...",Happy
"Oh wow, this is unbelievable!!!",Surprised
Let’s take it one step at a time....,Calm
This is such a sad situation.!,Sad
I feel on top of the world today!!,Happy
I feel so lonely and depressed.!!,Sad
I’m feeling relaxed and at peace....,Calm
I can’t believe how horrible this is.!,Disgust
I never imagined it would turn out like this!.,Surprised
I’m not sure I can handle this situation..,Fear
I'm so excited about this new project!!,Happy
This party is so much fun!.,Happy
I'm absolutely delighted with the results!!!,Happy
"I can’t stop smiling, this is amazing!",Happy
"Wow, I did not expect that at all!!!",Surprised
I’m terrified of what might happen..,Fear
I’m terrified of what might happen.!,Fear
I won’t tolerate this behavior anymore!!,Angry
I'm absolutely delighted with the results!!!,Happy
"I can’t stop smiling, this is amazing!.",Happy
"I can't stand this anymore, it's frustrating!!!",Angry
I feel like something bad is going to happen.!!,Fear
That’s absolutely disgusting!!,Disgust
I feel nauseous just thinking about it.!!,Disgust
I’ve had enough of this nonsense!!,Angry
It doesn’t really bother me either way.!!,Calm
"I can’t stop shaking, I’m so nervous!!",Fear
I'm feeling really down today....,Sad
We can discuss this calmly and logically.,Calm
I'm so furious about this injustice!!,Angry
I’m okay with whatever you decide..,Calm
I feel on top of the world today!!,Happy
Everything seems hopeless right now.,Sad
How dare you treat me like this!...,Angry
"My heart is racing, I can’t calm down!...",Fear
I can’t stand the sight of this....,Disgust
I’m not sure I can handle this situation.,Fear
Let’s take it one step at a time..,Calm
"Everything is under control, don’t worry.",Calm
"Stop wasting my time, I’m sick of it!",Angry
Life feels so empty without them.!!,Sad
"Please don’t leave me alone, I’m afraid.!",Fear
Life feels so empty without them....,Sad
I won’t tolerate this behavior anymore!,Angry
How dare you treat me like this!!,Angry
"I can’t stop shaking, I’m so nervous!",Fear
Let’s just focus on finding a solution.!!,Calm
I feel on top of the world today!!!,Happy
I won’t tolerate this behavior anymore!...,Angry
Everything is going better than I expected!!!,Happy
This is the worst thing I’ve ever experienced.!!,Disgust
Why would anyone do something so gross?,Disgust
I'm shocked by this unexpected news!,Surprised
"Oh wow, this is unbelievable!!!",Surprised
"I can’t stop shaking, I’m so nervous!.",Fear
"My heart is racing, I can’t calm down!!!",Fear
I’m terrified of what might happen..,Fear
I'm so excited about this new project!...,Happy
"My heart is racing, I can’t calm down!!",Fear
"What a wonderful day, I feel great!",Happy
"Everything is under control, don’t worry....",Calm
This situation is driving me crazy!!,Angry
Yay! We won the competition!.,Happy
That’s absolutely disgusting!!,Disgust
"I understand, and that’s fine with me..",Calm
"This is fantastic news, I'm thrilled!",Happy
I'm so furious about this injustice!!!,Angry
I love how everything is turning out!!,Happy
"This is fantastic news, I'm thrilled!",Happy
Why does everything always go wrong?!!,Angry
"No way, are you serious?!!",Surprised
How dare you treat me like this!!!,Angry
I feel so lonely and depressed.!,Sad
"I can’t stop smiling, this is amazing!!",Happy
We can discuss this calmly and logically..,Calm
I’m really scared right now..,Fear
"What a wonderful day, I feel great!",Happy
"Please don’t leave me alone, I’m afraid..",Fear
What if everything goes wrong?.,Fear
This situation is driving me crazy!...,Angry
This is completely revolting!!,Disgust
"Stop wasting my time, I’m sick of it!",Angry
I feel nauseous just thinking about it.,Disgust
Something doesn’t feel right about this..,Fear
This situation is driving me crazy!!!,Angry
This is such a sad situation.!!,Sad
"There’s no rush, we can work it out.",Calm
I never imagined it would turn out like this!!,Surprised
This is completely unacceptable!!!,Angry
This caught me totally off guard!...,Surprised
I’m not sure I can handle this situation....,Fear
I’m feeling relaxed and at peace....,Calm
"I can't stand this anymore, it's frustrating!.",Angry
"No way, are you serious?!",Surprised
It doesn’t really bother me either way.,Calm
How dare you treat me like this!!,Angry
I’m not sure I can handle this situation..,Fear
"Oh my goodness, what a surprise!!!",Surprised
"Oh wow, this is unbelievable!!",Surprised
Why does everything always go wrong?!,Angry
"No way, are you serious?...",Surprised
This party is so much fun!!,Happy
Let’s take it one step at a time....,Calm
I never imagined it would turn out like this!...,Surprised
"This is fantastic news, I'm thrilled!.",Happy
"That’s so dirty, I can’t touch it.!!",Disgust
"What a wonderful day, I feel great!!",Happy
This situation is driving me crazy!...,Angry
I'm so excited about this new project!,Happy
"Ugh, this makes me feel sick..",Disgust
I feel like something bad is going to happen..,Fear
I can’t believe how horrible this is.!!,Disgust
Everything is going better than I expected!.,Happy
"This is fantastic news, I'm thrilled!!",Happy
I'm absolutely delighted with the results!!!,Happy
That was completely out of the blue!,Surprised
"I understand, and that’s fine with me.",Calm
"I can’t stop crying, it hurts so much..",Sad
Everything is going better than I expected!...,Happy
It doesn’t really bother me either way.,Calm
"This is fantastic news, I'm thrilled!!",Happy
I feel nauseous just thinking about it.,Disgust
"That seems fair, I agree.!",Calm
I feel on top of the world today!,Happy
"Stop wasting my time, I’m sick of it!",Angry
I’m really scared right now.!!,Fear
"That seems fair, I agree.",Calm
This is the worst thing I’ve ever experienced.!,Disgust
It doesn’t really bother me either way....,Calm
"I can’t stop smiling, this is amazing!!!",Happy
I never imagined it would turn out like this!,Surprised
We can discuss this calmly and logically..,Calm
"Ugh, this makes me feel sick....",Disgust
This is the worst thing I’ve ever experienced.,Disgust
"I can't stand this anymore, it's frustrating!!",Angry
I'm absolutely delighted with the results!...,Happy
This place is giving me chills.!!,Fear
I love how everything is turning out!,Happy
I'm so excited about this new project!,Happy
Yay! We won the competition!...,Happy
This is the worst thing I’ve ever experienced.!,Disgust
That’s absolutely disgusting!!,Disgust
"This is fantastic news, I'm thrilled!!",Happy
I'm so excited about this new project!,Happy
I'm shocked by this unexpected news!.,Surprised
This caught me totally off guard!.,Surprised
I'm so furious about this injustice!...,Angry
I’ve lost all motivation to keep going..,Sad
Why does everything always go wrong?,Angry
"I can’t stop crying, it hurts so much.!!",Sad
I’m not sure I can handle this situation.!!,Fear
Let’s just focus on finding a solution.!,Calm
Yay! We won the competition!.,Happy
Why would anyone do something so gross?.,Disgust
"Stop wasting my time, I’m sick of it!!",Angry
"I understand, and that’s fine with me.!",Calm
"No way, are you serious?.",Surprised
I'm feeling really down today..,Sad
That was completely out of the blue!,Surprised
How dare you treat me like this!,Angry
This party is so much fun!.,Happy
I feel on top of the world today!.,Happy
"Ugh, this makes me feel sick.!",Disgust
Everything is going better than I expected!.,Happy
I love how everything is turning out!.,Happy
"Ugh, this makes me feel sick.!!",Disgust
I'm shocked by this unexpected news!,Surprised
I’m not sure I can handle this situation....,Fear
We can discuss this calmly and logically.!,Calm
That’s absolutely disgusting!...,Disgust
I feel like something bad is going to happen.!,Fear
I feel nauseous just thinking about it....,Disgust
"No way, are you serious?!",Surprised
I feel on top of the world today!!,Happy
"What a wonderful day, I feel great!!!",Happy
This is completely unacceptable!!!,Angry
This is completely unacceptable!...,Angry
I’ve lost all motivation to keep going..,Sad
"What a wonderful day, I feel great!",Happy
I just want to be left alone.!!,Sad
"What a wonderful day, I feel great!!!",Happy
I never imagined it would turn out like this!...,Surprised
This is such a sad situation..,Sad
"I can’t stop crying, it hurts so much.!!",Sad
I can’t stand the sight of this..,Disgust
Why does everything always go wrong?.,Angry
I just want to be left alone.!!,Sad
"That seems fair, I agree..",Calm
I love how everything is turning out!!,Happy
I love how everything is turning out!...,Happy
"I can’t stop smiling, this is amazing!...",Happy
"No way, are you serious?!",Surprised
I’ve had enough of this nonsense!...,Angry
Let’s just focus on finding a solution.!!,Calm
This party is so much fun!...,Happy
Life feels so empty without them.!,Sad
"There’s no rush, we can work it out..",Calm
This place is giving me chills.!,Fear
"I can’t stop smiling, this is amazing!...",Happy
I won’t tolerate this behavior anymore!!,Angry
This is such a sad situation.,Sad
"I understand, and that’s fine with me.",Calm
"I understand, and that’s fine with me.!",Calm
"Stop wasting my time, I’m sick of it!.",Angry
"Wow, I did not expect that at all!!",Surprised
"Oh my goodness, what a surprise!!!",Surprised
"There’s no rush, we can work it out....",Calm
"What a wonderful day, I feel great!!",Happy
This caught me totally off guard!.,Surprised
How dare you treat me like this!,Angry
Everything is going better than I expected!!,Happy
Everything seems hopeless right now.,Sad
This is making me so angry!...,Angry
"Oh my goodness, what a surprise!.",Surprised
"This is fantastic news, I'm thrilled!",Happy
I’m okay with whatever you decide.,Calm
I’ve had enough of this nonsense!,Angry
"I can’t stop shaking, I’m so nervous!!!",Fear
I’m not sure I can handle this situation.!!,Fear
"Oh my goodness, what a surprise!!!",Surprised
"I can’t stop smiling, this is amazing!!",Happy
"Wow, I did not expect that at all!!",Surprised
"This taste is unbearable, I hate it.!!",Disgust
Yay! We won the competition!...,Happy
Why does everything always go wrong?...,Angry
I’ve lost all motivation to keep going.,Sad
Everything seems hopeless right now..,Sad
I’m feeling relaxed and at peace.!,Calm
I love how everything is turning out!!,Happy
"Everything is under control, don’t worry....",Calm
How dare you treat me like this!!!,Angry
"What a wonderful day, I feel great!.",Happy
"Please don’t leave me alone, I’m afraid..",Fear
I feel like something bad is going to happen.!,Fear
"I can’t stop crying, it hurts so much.!!",Sad
This is completely revolting!,Disgust
"This taste is unbearable, I hate it.",Disgust
"No way, are you serious?",Surprised
I’m not sure I can handle this situation..,Fear
I'm shocked by this unexpected news!.,Surprised
I feel on top of the world today!.,Happy
"Oh wow, this is unbelievable!...",Surprised
"Stop wasting my time, I’m sick of it!...",Angry
It doesn’t really bother me either way.!,Calm
"Please don’t leave me alone, I’m afraid.!",Fear
Why would anyone do something so gross?!,Disgust
"Please don’t leave me alone, I’m afraid.",Fear
I never imagined it would turn out like this!!!,Surprised
I can’t believe this just happened!...,Surprised
This place is giving me chills..,Fear
"I can’t stop smiling, this is amazing!!",Happy
"That’s so dirty, I can’t touch it.",Disgust
I love how everything is turning out!,Happy
"Oh my goodness, what a surprise!...",Surprised
"I understand, and that’s fine with me.!",Calm
"Everything is under control, don’t worry.!!",Calm
"I can’t stop smiling, this is amazing!!",Happy
"I’m speechless, I didn’t see that coming!!",Surprised
This caught me totally off guard!!!,Surprised
Yay! We won the competition!!!,Happy
"I’m speechless, I didn’t see that coming!!!",Surprised
I can’t stand the sight of this.,Disgust
I’ve had enough of this nonsense!...,Angry
What if everything goes wrong?...,Fear
"I can’t stop smiling, this is amazing!.",Happy
Let’s take it one step at a time....,Calm
I feel like something bad is going to happen.!,Fear
That was completely out of the blue!.,Surprised
This is making me so angry!,Angry
Everything seems hopeless right now.,Sad
Everything seems hopeless right now.!,Sad
I feel like something bad is going to happen..,Fear
"No way, are you serious?!",Surprised
I love how everything is turning out!...,Happy
That was completely out of the blue!,Surprised
This place is giving me chills..,Fear
I’m terrified of what might happen..,Fear
Life feels so empty without them.,Sad
This is the worst thing I’ve ever experienced.!,Disgust
"I can’t stop crying, it hurts so much.!",Sad
Something doesn’t feel right about this.!,Fear
I feel nauseous just thinking about it.!!,Disgust
I can’t believe this just happened!!!,Surprised
I'm absolutely delighted with the results!!!,Happy
"Oh my goodness, what a surprise!",Surprised
"There’s no rush, we can work it out.!",Calm
That was completely out of the blue!!,Surprised
How dare you treat me like this!,Angry
"Please don’t leave me alone, I’m afraid....",Fear
"I understand, and that’s fine with me....",Calm
"I’m speechless, I didn’t see that coming!!",Surprised
That was completely out of the blue!!,Surprised
This is completely revolting!.,Disgust
I feel so lonely and depressed..,Sad
I never imagined it would turn out like this!.,Surprised
Something doesn’t feel right about this....,Fear
"This is fantastic news, I'm thrilled!",Happy
It doesn’t really bother me either way.,Calm
"I can’t stop smiling, this is amazing!!",Happy
I’m terrified of what might happen.!!,Fear
I won’t tolerate this behavior anymore!.,Angry
I feel nauseous just thinking about it..,Disgust
It doesn’t really bother me either way.,Calm
That’s absolutely disgusting!.,Disgust
I'm feeling really down today....,Sad
Why does everything always go wrong?...,Angry
I'm shocked by this unexpected news!.,Surprised
That was completely out of the blue!...,Surprised
I’m not sure I can handle this situation..,Fear
I’m okay with whatever you decide.!,Calm
"I’m speechless, I didn’t see that coming!.",Surprised
We can discuss this calmly and logically.,Calm
"I can't stand this anymore, it's frustrating!!!",Angry
This is such a sad situation.!!,Sad
I'm shocked by this unexpected news!,Surprised
"I’m speechless, I didn’t see that coming!...",Surprised
I feel like something bad is going to happen.!,Fear
"Oh my goodness, what a surprise!...",Surprised
I love how everything is turning out!!,Happy
I feel like something bad is going to happen..,Fear
This place is giving me chills.!,Fear
I won’t tolerate this behavior anymore!...,Angry
This is making me so angry!,Angry
"I can’t stop crying, it hurts so much.!!",Sad
Everything is going better than I expected!!,Happy
We can discuss this calmly and logically..,Calm
"No way, are you serious?",Surprised
"This is fantastic news, I'm thrilled!",Happy
It doesn’t really bother me either way.,Calm
"Everything is under control, don’t worry.!",Calm
This is completely unacceptable!!,Angry
This is making me so angry!!,Angry
"I’m speechless, I didn’t see that coming!",Surprised
I never imagined it would turn out like this!!,Surprised
I’m really scared right now.!,Fear
Why does everything always go wrong?.,Angry
Why would anyone do something so gross?.,Disgust
I feel on top of the world today!...,Happy
"That seems fair, I agree.",Calm
"I’m speechless, I didn’t see that coming!!!",Surprised
Why would anyone do something so gross?!!,Disgust
Why would anyone do something so gross?!,Disgust
I never imagined it would turn out like this!!!,Surprised
"Please don’t leave me alone, I’m afraid.!!",Fear
"I can't stand this anymore, it's frustrating!",Angry
I’m feeling relaxed and at peace..,Calm
"Ugh, this makes me feel sick.!",Disgust
This is completely unacceptable!!,Angry
I never imagined it would turn out like this!.,Surprised
That was completely out of the blue!,Surprised
I’ve had enough of this nonsense!.,Angry
I’m terrified of what might happen.,Fear
"I can’t stop shaking, I’m so nervous!.",Fear
I can’t believe this just happened!!,Surprised
"Wow, I did not expect that at all!!!",Surprised
Everything is going better than I expected!!,Happy
I’m okay with whatever you decide..,Calm
I feel nauseous just thinking about it.!!,Disgust
"No way, are you serious?!",Surprised
I feel nauseous just thinking about it.!!,Disgust
I’m not sure I can handle this situation.,Fear
I just want to be left alone.!!,Sad
I'm shocked by this unexpected news!...,Surprised
I'm feeling really down today.,Sad
"That’s so dirty, I can’t touch it.!",Disgust
"Wow, I did not expect that at all!!",Surprised
I can’t stand the sight of this.,Disgust
This is such a sad situation.!,Sad
I just want to be left alone.,Sad
Let’s just focus on finding a solution.!!,Calm
I love how everything is turning out!!!,Happy
I can’t stand the sight of this..,Disgust
It doesn’t really bother me either way..,Calm
This is completely unacceptable!,Angry
That’s absolutely disgusting!.,Disgust
I never imagined it would turn out like this!,Surprised
I feel on top of the world today!!,Happy
I feel like something bad is going to happen.!,Fear
Why does everything always go wrong?!,Angry
I'm heartbroken about what happened....,Sad
"Oh my goodness, what a surprise!",Surprised
I won’t tolerate this behavior anymore!...,Angry
"I can’t stop crying, it hurts so much..",Sad
"I can't stand this anymore, it's frustrating!...",Angry
I love how everything is turning out!!,Happy
This is making me so angry!.,Angry
I’m okay with whatever you decide.!,Calm
This is the worst thing I’ve ever experienced.!!,Disgust
We can discuss this calmly and logically....,Calm
That was completely out of the blue!...,Surprised
This place is giving me chills..,Fear
Yay! We won the competition!.,Happy
"I can’t stop smiling, this is amazing!.",Happy
I love how everything is turning out!...,Happy
"That seems fair, I agree.!!",Calm
"I’m speechless, I didn’t see that coming!",Surprised
Let’s just focus on finding a solution.,Calm
"I can't stand this anymore, it's frustrating!...",Angry
I’m okay with whatever you decide.!,Calm
"I can’t stop crying, it hurts so much....",Sad
"This is fantastic news, I'm thrilled!.",Happy
This situation is driving me crazy!...,Angry
I won’t tolerate this behavior anymore!...,Angry
"This is fantastic news, I'm thrilled!.",Happy
"I’m speechless, I didn’t see that coming!!",Surprised
"I can't stand this anymore, it's frustrating!.",Angry
"I can’t stop shaking, I’m so nervous!!",Fear
I’m not sure I can handle this situation....,Fear
"What a wonderful day, I feel great!!",Happy
"What a wonderful day, I feel great!!",Happy
"What a wonderful day, I feel great!.",Happy
"Oh my goodness, what a surprise!...",Surprised
"No way, are you serious?!!",Surprised
Let’s just focus on finding a solution....,Calm
Life feels so empty without them.!,Sad
I’m really scared right now..,Fear
"I can't stand this anymore, it's frustrating!!!",Angry
"I can’t stop shaking, I’m so nervous!.",Fear
This situation is driving me crazy!.,Angry
"This taste is unbearable, I hate it..",Disgust
I never imagined it would turn out like this!,Surprised
"There’s no rush, we can work it out.",Calm
"No way, are you serious?...",Surprised
I just want to be left alone.!!,Sad
I’ve lost all motivation to keep going.,Sad
"I can’t stop crying, it hurts so much....",Sad
Everything is going better than I expected!...,Happy
"That seems fair, I agree.!",Calm
I love how everything is turning out!,Happy
I love how everything is turning out!,Happy
"My heart is racing, I can’t calm down!!",Fear
We can discuss this calmly and logically..,Calm
I can’t stand the sight of this.!!,Disgust
Why does this always happen to me?!,Sad
Something doesn’t feel right about this..,Fear
I'm so furious about this injustice!!,Angry
I'm so excited about this new project!...,Happy
I can’t believe how horrible this is.!,Disgust
I won’t tolerate this behavior anymore!.,Angry
I'm so furious about this injustice!.,Angry
Why does this always happen to me?!!,Sad
That’s absolutely disgusting!...,Disgust
"That’s so dirty, I can’t touch it..",Disgust
I can’t stand the sight of this.!,Disgust
"My heart is racing, I can’t calm down!...",Fear
"This is fantastic news, I'm thrilled!...",Happy
"Ugh, this makes me feel sick....",Disgust
I feel on top of the world today!.,Happy
I love how everything is turning out!...,Happy
This situation is driving me crazy!!!,Angry
I’m not sure I can handle this situation.!!,Fear
I'm so excited about this new project!,Happy
I feel so lonely and depressed....,Sad
I'm feeling really down today....,Sad
"I’m speechless, I didn’t see that coming!...",Surprised
We can discuss this calmly and logically....,Calm
That was completely out of the blue!,Surprised
Something doesn’t feel right about this....,Fear
"This taste is unbearable, I hate it.!!",Disgust
How dare you treat me like this!!,Angry
I’m not sure I can handle this situation..,Fear
Everything is going better than I expected!!,Happy
This place is giving me chills....,Fear
This situation is driving me crazy!,Angry
"I understand, and that’s fine with me.!",Calm
That’s absolutely disgusting!.,Disgust
This is such a sad situation.!,Sad
Everything is going better than I expected!...,Happy
Yay! We won the competition!!!,Happy
We can discuss this calmly and logically..,Calm
Everything is going better than I expected!!,Happy
I’m not sure I can handle this situation.!!,Fear
"I can't stand this anymore, it's frustrating!!!",Angry
What if everything goes wrong?.,Fear
I'm so furious about this injustice!!!,Angry
"I can’t stop crying, it hurts so much..",Sad
"That’s so dirty, I can’t touch it..",Disgust
Life feels so empty without them.!,Sad
Yay! We won the competition!.,Happy
I’m okay with whatever you decide.,Calm
"I can’t stop shaking, I’m so nervous!...",Fear
"I can’t stop shaking, I’m so nervous!.",Fear
"Please don’t leave me alone, I’m afraid....",Fear
I love how everything is turning out!!!,Happy
"I can’t stop smiling, this is amazing!",Happy
"I can’t stop crying, it hurts so much....",Sad
"I can’t stop crying, it hurts so much.!",Sad
"No way, are you serious?...",Surprised
I feel like something bad is going to happen..,Fear
"What a wonderful day, I feel great!!",Happy
"I can’t stop smiling, this is amazing!...",Happy
I'm heartbroken about what happened.!!,Sad
This situation is driving me crazy!,Angry
I'm absolutely delighted with the results!!!,Happy
What if everything goes wrong?,Fear
"Please don’t leave me alone, I’m afraid.",Fear
Life feels so empty without them..,Sad
"I’m speechless, I didn’t see that coming!!",Surprised
Something doesn’t feel right about this.!,Fear
This party is so much fun!!,Happy
I'm absolutely delighted with the results!!!,Happy
I feel like something bad is going to happen.!!,Fear
"I can’t stop shaking, I’m so nervous!.",Fear
"Stop wasting my time, I’m sick of it!!!",Angry
This is completely revolting!.,Disgust
"I’m speechless, I didn’t see that coming!!",Surprised
This party is so much fun!.,Happy
I can’t stand the sight of this....,Disgust
I’m okay with whatever you decide.!,Calm
This is completely unacceptable!.,Angry
"Oh wow, this is unbelievable!...",Surprised
I’m terrified of what might happen.!,Fear
"No way, are you serious?...",Surprised
I'm feeling really down today.!,Sad
I feel nauseous just thinking about it....,Disgust
"This taste is unbearable, I hate it.!!",Disgust
What if everything goes wrong?!!,Fear
I can’t stand the sight of this..,Disgust
I feel like something bad is going to happen.!,Fear
"What a wonderful day, I feel great!.",Happy
"This taste is unbearable, I hate it....",Disgust
I can’t stand the sight of this.,Disgust
This is completely unacceptable!,Angry
"This taste is unbearable, I hate it.!",Disgust
I'm absolutely delighted with the results!,Happy
How dare you treat me like this!!!,Angry
I’m not sure I can handle this situation....,Fear
I'm shocked by this unexpected news!,Surprised
I feel so lonely and depressed....,Sad
I'm so furious about this injustice!,Angry
I'm so excited about this new project!!,Happy
This is making me so angry!...,Angry
I’m feeling relaxed and at peace....,Calm
Yay! We won the competition!!,Happy
"No way, are you serious?.",Surprised
This is the worst thing I’ve ever experienced....,Disgust
I never imagined it would turn out like this!.,Surprised
I’ve lost all motivation to keep going....,Sad
We can discuss this calmly and logically.,Calm
Why does this always happen to me?.,Sad
"I’m speechless, I didn’t see that coming!!!",Surprised
Life feels so empty without them..,Sad
I’m okay with whatever you decide.!,Calm
I'm so furious about this injustice!,Angry
I just want to be left alone.,Sad
"This is fantastic news, I'm thrilled!.",Happy
I'm absolutely delighted with the results!,Happy
I’m okay with whatever you decide.!!,Calm
"Oh my goodness, what a surprise!...",Surprised
Something doesn’t feel right about this.,Fear
I'm absolutely delighted with the results!!,Happy
I'm feeling really down today..,Sad
I'm so furious about this injustice!!!,Angry
I feel like something bad is going to happen..,Fear
"Oh wow, this is unbelievable!!!",Surprised
Everything is going better than I expected!...,Happy
This is making me so angry!!!,Angry
I’ve had enough of this nonsense!...,Angry
I'm feeling really down today.!!,Sad
Let’s just focus on finding a solution.,Calm
I'm shocked by this unexpected news!!,Surprised
I love how everything is turning out!!,Happy
I’m not sure I can handle this situation..,Fear
"I’m speechless, I didn’t see that coming!...",Surprised
This is completely unacceptable!,Angry
"There’s no rush, we can work it out..",Calm
"That seems fair, I agree..",Calm
"I can’t stop crying, it hurts so much.",Sad
This is the worst thing I’ve ever experienced..,Disgust
I never imagined it would turn out like this!!!,Surprised
"I can’t stop crying, it hurts so much.",Sad
"Oh my goodness, what a surprise!.",Surprised
What if everything goes wrong?!!,Fear
"I can’t stop shaking, I’m so nervous!...",Fear
I’m feeling relaxed and at peace....,Calm
I'm shocked by this unexpected news!...,Surprised
"This taste is unbearable, I hate it.!!",Disgust
This situation is driving me crazy!!!,Angry
I'm shocked by this unexpected news!.,Surprised
Let’s just focus on finding a solution.,Calm
I'm heartbroken about what happened..,Sad
I'm shocked by this unexpected news!,Surprised
"Please don’t leave me alone, I’m afraid....",Fear
"Ugh, this makes me feel sick.!!",Disgust
"Oh my goodness, what a surprise!.",Surprised
I'm shocked by this unexpected news!...,Surprised
I’ve had enough of this nonsense!!!,Angry
I’m feeling relaxed and at peace.!,Calm
"That seems fair, I agree.",Calm
"That seems fair, I agree.",Calm
"Stop wasting my time, I’m sick of it!!",Angry
Everything seems hopeless right now....,Sad
I'm shocked by this unexpected news!!,Surprised
I can’t stand the sight of this.!,Disgust
I'm so excited about this new project!!!,Happy
That’s absolutely disgusting!!,Disgust
Something doesn’t feel right about this.!!,Fear
That was completely out of the blue!.,Surprised
I’m okay with whatever you decide.!,Calm
"Oh my goodness, what a surprise!",Surprised
"My heart is racing, I can’t calm down!.",Fear
"That’s so dirty, I can’t touch it..",Disgust
I’ve lost all motivation to keep going.,Sad
"There’s no rush, we can work it out....",Calm
I’m terrified of what might happen.,Fear
I feel so lonely and depressed.!!,Sad
This place is giving me chills.,Fear
I’m not sure I can handle this situation.!,Fear
"Wow, I did not expect that at all!.",Surprised
I can’t stand the sight of this.,Disgust
This party is so much fun!!!,Happy
Why does everything always go wrong?.,Angry
We can discuss this calmly and logically.!!,Calm
"Everything is under control, don’t worry.",Calm
I’m really scared right now.,Fear
"I can’t stop smiling, this is amazing!.",Happy
I love how everything is turning out!,Happy
I'm so furious about this injustice!!,Angry
I feel so lonely and depressed.!!,Sad
How dare you treat me like this!,Angry
"This is fantastic news, I'm thrilled!...",Happy
I can’t believe how horrible this is.!!,Disgust
"What a wonderful day, I feel great!",Happy
"I can't stand this anymore, it's frustrating!",Angry
Something doesn’t feel right about this.!,Fear
This is completely unacceptable!!!,Angry
I'm absolutely delighted with the results!!,Happy
How dare you treat me like this!,Angry
"Stop wasting my time, I’m sick of it!",Angry
Everything seems hopeless right now.,Sad
This is such a sad situation.,Sad
"Stop wasting my time, I’m sick of it!!",Angry
This is the worst thing I’ve ever experienced..,Disgust
This place is giving me chills....,Fear
I never imagined it would turn out like this!...,Surprised
"I can’t stop crying, it hurts so much..",Sad
We can discuss this calmly and logically.!,Calm
"I’m speechless, I didn’t see that coming!...",Surprised
This is such a sad situation..,Sad
This caught me totally off guard!!!,Surprised
"Oh wow, this is unbelievable!.",Surprised
This is completely revolting!,Disgust
I'm heartbroken about what happened.!!,Sad
I'm heartbroken about what happened.!!,Sad
I feel like something bad is going to happen..,Fear
I won’t tolerate this behavior anymore!!!,Angry
Yay! We won the competition!!,Happy
"Everything is under control, don’t worry.!!",Calm
This is completely unacceptable!...,Angry
I'm heartbroken about what happened.,Sad
"This is fantastic news, I'm thrilled!...",Happy
Why would anyone do something so gross?.,Disgust
I feel nauseous just thinking about it....,Disgust
"I can’t stop smiling, this is amazing!.",Happy
I feel nauseous just thinking about it.,Disgust
I'm absolutely delighted with the results!,Happy
I just want to be left alone..,Sad
"Wow, I did not expect that at all!!",Surprised
"I can’t stop smiling, this is amazing!.",Happy
I just want to be left alone.!!,Sad
I feel like something bad is going to happen.!,Fear
That was completely out of the blue!.,Surprised
This is such a sad situation.!!,Sad
We can discuss this calmly and logically.,Calm
"Ugh, this makes me feel sick.!!",Disgust
We can discuss this calmly and logically..,Calm
I can’t believe how horrible this is..,Disgust
I can’t believe how horrible this is..,Disgust
"Stop wasting my time, I’m sick of it!!",Angry
"No way, are you serious?!",Surprised
What if everything goes wrong?,Fear
Let’s take it one step at a time.,Calm
I’m terrified of what might happen.!!,Fear
I’m really scared right now..,Fear
"Oh my goodness, what a surprise!.",Surprised
I’m okay with whatever you decide.,Calm
"What a wonderful day, I feel great!",Happy
"Please don’t leave me alone, I’m afraid..",Fear
I can’t believe how horrible this is....,Disgust
I feel so lonely and depressed.,Sad
This is such a sad situation.,Sad
What if everything goes wrong?!!,Fear
It doesn’t really bother me either way.!!,Calm
"Oh wow, this is unbelievable!!",Surprised
"Everything is under control, don’t worry.",Calm
"That seems fair, I agree.",Calm
"What a wonderful day, I feel great!.",Happy
I’ve had enough of this nonsense!.,Angry
It doesn’t really bother me either way.,Calm
This party is so much fun!,Happy
"Ugh, this makes me feel sick.!!",Disgust
"This taste is unbearable, I hate it.",Disgust
I can’t stand the sight of this..,Disgust
This is completely unacceptable!!!,Angry
I'm absolutely delighted with the results!.,Happy
It doesn’t really bother me either way.,Calm
I'm so excited about this new project!.,Happy
I'm so excited about this new project!...,Happy
"This taste is unbearable, I hate it....",Disgust
This is making me so angry!.,Angry
Why does this always happen to me?...,Sad
I just want to be left alone.!,Sad
"Wow, I did not expect that at all!.",Surprised
This party is so much fun!!,Happy
"That’s so dirty, I can’t touch it.",Disgust
"That’s so dirty, I can’t touch it..",Disgust
Something doesn’t feel right about this.,Fear
We can discuss this calmly and logically.,Calm
I won’t tolerate this behavior anymore!.,Angry
This party is so much fun!,Happy
I’m not sure I can handle this situation....,Fear
I’ve lost all motivation to keep going.!!,Sad
"I can’t stop smiling, this is amazing!...",Happy
"I understand, and that’s fine with me.",Calm
"What a wonderful day, I feel great!",Happy
That was completely out of the blue!...,Surprised
I feel on top of the world today!!!,Happy
Everything is going better than I expected!.,Happy
That was completely out of the blue!!,Surprised
